"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-54O7.3",132.412586643307,3.27803675030405,0.367342028895498,8.92366375870535,4.51111958956768e-19,3.77370190732635e-15
"FER1L6",47.0243263261678,-3.58894542982924,0.457044320011699,-7.8525107362397,4.07789965410686e-15,7.30992640853327e-12
"SPP1",273.614853576354,3.0418115925104,0.399083354660042,7.62199564825639,2.49783459327146e-14,3.68739158545532e-11
"NPPA",27642.8359986879,5.78664253176925,0.88279634148123,6.55490089827506,5.56788402875905e-11,2.32886029309562e-08
"BMP7",231.354704292487,-3.6053361786182,0.551345510643663,-6.53915940008141,6.18655612152043e-11,2.54521003976519e-08
"FAM83B",65.5434287554045,-4.02502762715777,0.636046721661041,-6.32819491097506,2.48045701432744e-10,7.98071143994379e-08
"KIAA1211",90.9656030999851,2.75330040844143,0.438002988391343,6.28603110347147,3.25684720855121e-10,1.02167296932251e-07
"RP11-1081M5.2",57.0867561855413,-4.08855768286083,0.655550889681989,-6.23682729626712,4.46534495129695e-10,1.2451366321972e-07
"RP11-1081M5.1",137.095041115225,-3.9549297278259,0.642927318246296,-6.15144140804858,7.67818923728329e-10,1.95010825571084e-07
"RP11-521J24.1",58.6277918472957,3.43115545816628,0.560069158714827,6.12630673333208,8.99423379152723e-10,2.23484446764522e-07
"MYH6",11467.7844608218,-3.48901379188601,0.573739759219958,-6.08117833184436,1.19302510414951e-09,2.85144362035582e-07
"ETNPPL",97.8469316621232,-3.37819371813862,0.573987589483253,-5.88548216030232,3.96895198375169e-09,7.2177405061038e-07
"CYP1A1",377.789523157058,-5.50611974892549,0.949454146291217,-5.79924767344862,6.66130876057975e-09,1.10286326645725e-06
"TNMD",64.2536822884325,4.5556720018988,0.785074387032994,5.80285394243455,6.51955795074636e-09,1.10286326645725e-06
"PENK",292.136239977345,4.53706275463904,0.817642844122996,5.54895427416784,2.87383321619067e-08,3.79587991544848e-06
"XIST",2441.82984620211,7.36797109057295,1.33316135302553,5.52669117946737,3.26326630958212e-08,4.17998065319848e-06
"CA3",1047.66016215696,3.39280421628928,0.626914840865418,5.41190604389858,6.23574072739466e-08,7.14576024176696e-06
"TMEM59L",34.7663929185271,2.98716043515769,0.577690662630199,5.1708650120071,2.33012848337383e-07,2.09594639493726e-05
"ARF4P4",16.3381465062194,3.28236861067806,0.647822560968624,5.06677107041512,4.04620409680185e-07,3.22360438137585e-05
"COL22A1",65.4416900538333,3.54222914446151,0.728748649161553,4.86070080340726,1.16970926972988e-06,7.48852648804619e-05
